user_id,timestamp,Challenge,Confidence_Score
116,2025-05-08 14:54:19,penjumlahan-dua-angka,0.90483952
118,2025-05-16 11:13:37,status-http,0.99945349
113,2025-05-08 13:39:00,status-http,0.99990165
109,2025-05-08 11:29:04,status-http,0.99959177
108,2025-05-08 11:18:39,status-http,0.99998367
108,2025-05-08 11:08:09,status-http,0.74171227
104,2025-04-22 16:42:37,status-http,0.99999666
106,2025-04-22 17:16:24,penjumlahan-dua-angka,0.99968296
100,2025-04-22 13:00:52,status-http,0.99999285
107,2025-05-07 13:19:22,status-http,0.99931514
109,2025-05-08 11:19:04,penjumlahan-dua-angka,0.99999869
99,2025-04-22 12:48:18,status-http,0.99472046
97,2025-04-22 12:21:49,status-http,0.64935577
108,2025-05-08 11:21:44,status-http,0.63532513
109,2025-05-08 11:17:34,penjumlahan-dua-angka,0.99991345
115,2025-05-08 15:00:46,status-http,0.99942917
106,2025-04-22 17:27:54,status-http,0.9995833
106,2025-04-22 17:14:29,penjumlahan-dua-angka,0.85947734
102,2025-04-22 15:43:06,penjumlahan-dua-angka,0.9983542
108,2025-05-08 11:26:14,status-http,0.97969854
104,2025-04-22 16:43:37,status-http,0.98922849
109,2025-05-08 11:32:54,status-http,0.9999702
107,2025-05-07 13:05:27,status-http,0.97033322
113,2025-05-08 13:37:40,status-http,0.99964428
118,2025-05-16 11:25:38,status-http,0.99942905
117,2025-05-09 11:09:52,status-http,0.71480387
99,2025-04-22 13:02:08,status-http,0.57229906
107,2025-05-07 13:19:02,status-http,0.9999547
104,2025-04-22 16:38:47,status-http,0.92316991
114,2025-05-08 13:41:43,status-http,0.99991798
106,2025-04-22 17:28:14,status-http,1.0
111,2025-05-08 12:03:42,status-http,0.99448246
111,2025-05-08 12:30:01,status-http,0.99949849
118,2025-05-16 11:13:47,status-http,0.99278659
99,2025-04-22 13:04:43,status-http,0.77580398
99,2025-04-22 12:51:43,status-http,0.89051473
104,2025-04-22 16:48:37,status-http,0.74536026
111,2025-05-08 12:04:22,status-http,0.99542844
100,2025-04-22 13:05:27,status-http,0.99995482
112,2025-05-08 12:33:46,penjumlahan-dua-angka,0.56732696
100,2025-04-22 12:55:12,penjumlahan-dua-angka,0.99425393
107,2025-05-07 13:24:42,status-http,0.93183678
100,2025-04-22 12:55:02,penjumlahan-dua-angka,0.99188298
114,2025-05-08 13:28:38,status-http,0.99940085
111,2025-05-08 12:12:22,status-http,0.99476951
102,2025-04-22 15:43:11,penjumlahan-dua-angka,0.99871719
117,2025-05-09 11:18:32,status-http,0.99967694
115,2025-05-08 15:03:16,status-http,0.9980464
110,2025-05-08 11:52:30,status-http,0.98632294
103,2025-04-22 15:39:14,penjumlahan-dua-angka,0.9199878
108,2025-05-08 11:14:24,status-http,0.99983156
99,2025-04-22 13:09:18,status-http,0.97390682
103,2025-04-22 15:47:04,status-http,0.98273236
100,2025-04-22 13:02:12,status-http,0.99997473
103,2025-04-22 15:38:24,penjumlahan-dua-angka,0.9993788
109,2025-05-08 11:37:39,status-http,0.99721295
104,2025-04-22 16:48:22,status-http,0.90921003
106,2025-04-22 17:14:59,penjumlahan-dua-angka,0.56740159
115,2025-05-08 14:56:41,status-http,0.99512601
116,2025-05-08 15:09:24,status-http,0.82207841
108,2025-05-08 11:26:29,status-http,0.7288478
102,2025-04-22 15:55:26,status-http,0.64960617
113,2025-05-08 13:27:00,status-http,0.9999994
107,2025-05-07 13:09:42,status-http,0.85188174
117,2025-05-09 10:57:52,penjumlahan-dua-angka,0.99999011
107,2025-05-07 13:02:42,status-http,0.89454222
102,2025-04-22 15:44:36,penjumlahan-dua-angka,0.99394387
114,2025-05-08 13:38:38,status-http,0.75277495
100,2025-04-22 12:56:27,penjumlahan-dua-angka,0.99999964
